_id,gameId,teamId,defRating,eOffRating,efgPct,netRating,pace,tsPct
699821d4e161b702e08a5b43,22500643,1610612752,112.4,115.6,0.522,1.9,97.5,0.534
699821d4e161b702e08a5b44,22500647,1610612738,123.9,109.9,0.52,-3.3,92,0.539
699821d4e161b702e08a5b45,22500645,1610612764,120.2,111.7,0.557,-6.3,100,0.575
699821d4e161b702e08a5b46,22500648,1610612742,111.5,103,0.468,-5.8,104,0.515
699821d4e161b702e08a5b47,22500646,1610612753,120.2,103.9,0.475,-15.2,99.5,0.552
699821d4e161b702e08a5b48,22500649,1610612762,132.4,104.2,0.516,-27.9,111,0.556
699821d4e161b702e08a5b49,22500642,1610612761,101,111.7,0.582,11.2,97.5,0.595
699821d4e161b702e08a5b4a,22500635,1610612745,106.1,114.2,0.551,7.1,98,0.602
699821d4e161b702e08a5b4b,22500639,1610612740,121,126,0.53,5.7,105,0.586
699821d4e161b702e08a5b4c,22500636,1610612737,102,110,0.611,6.9,101,0.625
699821d4e161b702e08a5b4d,22500638,1610612739,121.6,124.4,0.526,3.9,97.5,0.57
699821d4e161b702e08a5b4e,22500640,1610612743,105.3,102.9,0.471,1,95.5,0.525
699821d4e161b702e08a5b4f,22500637,1610612738,114.5,112,0.55,3.6,91.03,0.56
699821d4e161b702e08a5b50,22500641,1610612754,112.9,114.9,0.552,4.1,100.5,0.558
699821d4e161b702e08a5b51,22500641,1610612760,117,113.8,0.53,-4.1,100.5,0.599
699821d4e161b702e08a5b52,22500637,1610612751,118.2,112.5,0.511,-3.6,91.03,0.573
699821d4e161b702e08a5b53,22500640,1610612749,106.3,103.2,0.471,-1,95.5,0.516
699821d4e161b702e08a5b54,22500638,1610612758,125.5,118.4,0.545,-3.9,97.5,0.598
699821d4e161b702e08a5b55,22500636,1610612756,108.9,102,0.5,-6.9,101,0.52
699821d4e161b702e08a5b56,22500639,1610612763,126.7,119,0.587,-5.7,105,0.625
699821d4e161b702e08a5b57,22500635,1610612765,113.3,101.4,0.518,-7.1,98,0.55
699821d4e161b702e08a5b58,22500642,1610612757,112.2,94.8,0.464,-11.2,97.5,0.479
699821d4e161b702e08a5b59,22500627,1610612766,102.1,130.5,0.652,28.4,95,0.689
699821d4e161b702e08a5b5a,22500629,1610612743,101,109.8,0.5,10.4,96,0.566
699821d4e161b702e08a5b5b,22500628,1610612755,116.2,122.3,0.612,6.9,94.64,0.649
699821d4e161b702e08a5b5c,22500632,1610612759,110.1,124.1,0.609,15.9,99.5,0.646
699821d4e161b702e08a5b5d,22500634,1610612757,105.8,117.9,0.604,17.5,103.5,0.624
699821d4e161b702e08a5b5e,22500630,1610612742,106.5,111.6,0.576,7.4,108,0.62
699821d4e161b702e08a5b5f,22500631,1610612741,110.6,111.6,0.541,3.7,104.5,0.597
699821d4e161b702e08a5b60,22500633,1610612746,105.1,111.7,0.548,10.4,98,0.601
699821d4e161b702e08a5b61,22500633,1610612747,115.5,104.1,0.517,-10.4,98,0.542
699821d4e161b702e08a5b62,22500631,1610612750,114.3,109.9,0.543,-3.7,104.5,0.577
699821d4e161b702e08a5b63,22500630,1610612744,113.9,104.6,0.526,-7.4,108,0.553
699821d4e161b702e08a5b64,22500634,1610612748,123.3,106.4,0.505,-17.5,103.5,0.537
699821d4e161b702e08a5b65,22500632,1610612762,126,107.2,0.544,-15.9,99.5,0.569
699821d4e161b702e08a5b66,22500628,1610612745,123.1,109.4,0.556,-6.9,94.64,0.557
699821d4e161b702e08a5b67,22500629,1610612764,111.5,102.6,0.458,-10.4,96,0.513
699821d4e161b702e08a5b68,22500627,1610612753,130.5,102.5,0.506,-28.4,95,0.547
699821d4e161b702e08a5b69,22500622,1610612752,71,131.2,0.675,58.1,93,0.686
699821d4e161b702e08a5b6a,22500621,1610612738,103,117.8,0.545,14.9,101,0.601
699821d4e161b702e08a5b6b,22500625,1610612760,105.2,125,0.622,20.6,97,0.631
699821d4e161b702e08a5b6c,22500620,1610612739,90.6,92.6,0.437,7.3,96,0.482
699821d4e161b702e08a5b6d,22500626,1610612761,107.9,120.8,0.527,14.1,100.5,0.581
699821d4e161b702e08a5b6e,22500624,1610612765,102,106.1,0.528,6.8,102.5,0.568
699821d4e161b702e08a5b6f,22500623,1610612737,117.3,114.2,0.576,0.8,104.5,0.605
699821d4e161b702e08a5b70,22500623,1610612763,118.1,111,0.527,-0.8,104.5,0.582
699821d4e161b702e08a5b71,22500624,1610612740,108.7,99.8,0.459,-6.8,102.5,0.524
699821d4e161b702e08a5b72,22500626,1610612758,122,107.2,0.517,-14.1,100.5,0.558
699821d4e161b702e08a5b73,22500620,1610612766,97.9,85.4,0.378,-7.3,96,0.411
699821d4e161b702e08a5b74,22500625,1610612749,125.8,106.3,0.593,-20.6,97,0.6
699821d4e161b702e08a5b75,22500621,1610612754,117.8,98.9,0.457,-14.9,101,0.499
699821d4e161b702e08a5b76,22500622,1610612751,129,69.7,0.361,-58.1,93,0.39
699821d4e161b702e08a5b77,22500614,1610612741,107.8,137.6,0.701,24.8,103,0.709
699821d4e161b702e08a5b78,22500618,1610612761,121,139.9,0.715,18.5,104.5,0.758
699821d4e161b702e08a5b79,22500615,1610612745,107.1,110.3,0.578,5.1,99,0.599
699821d4e161b702e08a5b7a,22500617,1610612747,112.6,114.9,0.566,9.7,94.5,0.592
699821d4e161b702e08a5b7b,22500619,1610612748,111.4,122,0.587,11.2,105.5,0.599
699821d4e161b702e08a5b7c,22500616,1610612762,116.2,118.2,0.621,4.8,105,0.645
699821d4e161b702e08a5b7d,22500613,1610612756,103.8,107.6,0.522,6.7,105.5,0.575
699821d4e161b702e08a5b7e,22500613,1610612755,110.5,103.9,0.478,-6.7,105.5,0.524
699821d4e161b702e08a5b7f,22500616,1610612750,121,113.1,0.51,-4.8,105,0.545
699821d4e161b702e08a5b80,22500619,1610612758,122.6,112.2,0.569,-11.2,105.5,0.608
699821d4e161b702e08a5b81,22500617,1610612743,122.3,112.2,0.534,-9.7,94.5,0.561
699821d4e161b702e08a5b82,22500615,1610612759,112.1,101.5,0.457,-5.1,99,0.484
699821d4e161b702e08a5b83,22500618,1610612744,139.4,118.2,0.604,-18.5,104.5,0.62
699821d4e161b702e08a5b84,22500614,1610612746,132.7,105.3,0.522,-24.8,103,0.553
699821d4e161b702e08a5b85,22500015,1610612760,97.2,128.5,0.683,29.9,107,0.688
699821d4e161b702e08a5b86,22500612,1610612744,104.7,124.4,0.642,21.5,107,0.659
699821d4e161b702e08a5b87,22500016,1610612742,92.4,109.3,0.579,16.2,105,0.604
699821d4e161b702e08a5b88,22500611,1610612759,108.9,121.8,0.658,14.1,100.5,0.683
699821d4e161b702e08a5b89,22500609,1610612755,104,115.5,0.506,10.1,99.5,0.544
699821d4e161b702e08a5b8a,22500017,1610612765,110.8,107.1,0.494,1.1,93,0.53
699821d4e161b702e08a5b8b,22500608,1610612746,107.1,111.4,0.494,5.2,98.5,0.581
699821d4e161b702e08a5b8c,22500610,1610612756,130,135.3,0.701,11.6,89.5,0.723
699821d4e161b702e08a5b8d,22500014,1610612749,107.8,113.1,0.595,0.9,102.5,0.622
699821d4e161b702e08a5b8e,22500014,1610612737,108.7,107.3,0.469,-0.9,102.5,0.516
699821d4e161b702e08a5b8f,22500610,1610612751,141.6,128.2,0.599,-11.6,89.5,0.648
699821d4e161b702e08a5b90,22500608,1610612764,112.2,105.3,0.506,-5.2,98.5,0.554
699821d4e161b702e08a5b91,22500017,1610612738,111.8,107.1,0.476,-1.1,93,0.535
699821d4e161b702e08a5b92,22500609,1610612754,114.1,101.8,0.554,-10.1,99.5,0.577
699821d4e161b702e08a5b93,22500611,1610612762,123,106.9,0.473,-14.1,100.5,0.529
699821d4e161b702e08a5b94,22500016,1610612752,108.6,93.4,0.447,-16.2,105,0.467
